Position,Team,Played,Win,Loss,Draw,%Won,Points,For,Against,Percentage,Movement,Streak
1,Sydney Swans,10,9,1,0,0.9,36,1131,743,1.5222,0,Won 7
2,Fremantle Dockers,9,8,1,0,0.8889,32,846,643,1.3157,0,Won 8
3,Geelong Cats,10,7,3,0,0.7,28,1030,834,1.235,2,Won 3
4,Gold Coast Suns,10,7,3,0,0.7,28,993,828,1.1993,2,Won 3
5,Melbourne Demons,10,7,3,0,0.7,28,1030,957,1.0763,2,Won 2
6,Hawthorn Hawks,10,6,3,1,0.65,26,983,892,1.102,-3,Lost 2
7,Brisbane Lions,10,6,4,0,0.6,24,1038,890,1.1663,-3,Lost 1
8,Adelaide Crows,10,6,4,0,0.6,24,916,835,1.097,0,Won 3
9,Western Bulldogs,10,5,5,0,0.5,20,856,933,0.9175,0,Lost 1
10,Collingwood Magpies,10,4,5,1,0.45,18,809,816,0.9914,0,Lost 2
11,St Kilda Saints,9,4,5,0,0.4444,16,825,755,1.0927,0,Lost 1
12,North Melbourne Kangaroos,10,4,6,0,0.4,16,926,958,0.9666,0,Lost 4
13,GWS Giants,9,4,5,0,0.4444,16,771,846,0.9113,0,Won 1
14,Port Adelaide Power,10,3,7,0,0.3,12,848,806,1.0521,0,Lost 3
15,Carlton Blues,10,2,8,0,0.2,8,797,974,0.8183,1,Won 1
16,West Coast Eagles,9,2,7,0,0.2222,8,624,1038,0.6012,-1,Lost 6
17,Essendon Bombers,9,1,8,0,0.1111,4,738,1028,0.7179,0,Lost 4
18,Richmond Tigers,9,1,8,0,0.1111,4,584,969,0.6027,0,Lost 1
